Time,Input,Output
4.9e-07,(0.024757875480693085+0.015402332157216812j),(-0.240059-0.00934737j)
4.95e-07,(0.023616879675326132+0.02030825853141886j),(-0.254649-0.0509315j)
5e-07,(0.00912729971379339+0.020878711985492834j),(-0.154272-0.115841j)
5.05e-07,(-0.00524820289150739+0.013576872214458142j),(-0.019526-0.122826j)
5.1e-07,(-0.007073662834266065+0.0018254621651891522j),(0.0445568-0.0448269j)
5.15e-07,(0.0012550042662542102-0.0039931964028227015j),(0.00944368+0.0334036j)
5.2e-07,(0.006617308960728768+0.0015972785611290813j),(-0.0537452+0.016895j)
5.250000000000001e-07,(0.0015972785611290804+0.011865511852236152j),(-0.0615989-0.0778406j)
5.3e-07,(-0.004563649856896695+0.014831878703142811j),(-0.0285702-0.126164j)
5.35e-07,(0.0022818360406007187+0.009127299713793391j),(-0.0516252-0.0579534j)
5.4e-07,(0.020992811566029553+0.005248202891507388j),(-0.169374+0.0474153j)
5.45e-07,(0.030690653631115897+0.010952781880856815j),(-0.265742+0.0467761j)
5.5e-07,(0.0120936887890048+0.01859689816919687j),(-0.168045-0.0858639j)
5.55e-07,(-0.02783838636074593+0.01346277263392144j),(0.139257-0.214923j)
5.6e-07,(-0.058643050675179546-0.005020025954738732j),(0.441255-0.207757j)
5.65e-07,(-0.055904794088127346-0.018825075105965542j),(0.484558-0.0926551j)
5.7e-07,(-0.025898649043012645-0.012207788369541499j),(0.244158-0.0123609j)
5.75e-07,(0.0025100129773693693+0.006389109799655379j),(-0.0391319-0.029742j)
5.800000000000001e-07,(0.008785045420792783+0.010154129265709421j),(-0.103981-0.0366964j)
5.85e-07,(-0.00011409135754394165-0.013690971794994839j),(0.0560345+0.0931391j)
5.9e-07,(-0.0035368425292854073-0.0450660006662835j),(0.20997+0.306008j)
5.95e-07,(0.00718776241480277-0.05031427023070515j),(0.154521+0.394572j)
6e-07,(0.021220988502798185-0.021563265020103528j),(-0.0659499+0.250352j)
6.05e-07,(0.026355136262378363+0.012664142243078796j),(-0.24457+0.0228659j)
6.1e-07,(0.02612689265269549+0.01757006861728084j),(-0.261847-0.0207947j)
6.15e-07,(0.03251593577943665-0.00878504542079279j),(-0.197536+0.190123j)
6.2e-07,(0.04563649856896698-0.033542920901485876j),(-0.191046+0.424174j)
6.25e-07,(0.04917327442533818-0.0277241534343808j),(-0.244775+0.402393j)
6.3e-07,(0.02954965782574896+0.0023959133968326747j),(-0.231315+0.107579j)
6.350000000000001e-07,(-0.0038790968222860082+0.02373111260169126j),(-0.0772738-0.186109j)
6.4e-07,(-0.02601288196937777+0.015288254800984872j),(0.122704-0.220314j)
6.45e-07,(-0.02270412747964207-0.010724582719783429j),(0.211273-0.0197397j)
6.5e-07,(-0.006046833282350026-0.026126892652695487j),(0.154892+0.16329j)
6.55e-07,(0.00034227429487486964-0.019509628140576222j),(0.0776094+0.145347j)
6.6e-07,(-0.010952781880856808-0.0047918490179700846j),(0.0953784-0.00697569j)
6.65e-07,(-0.024415621187692485+0.00011409135754394174j),(0.173574-0.0996693j)
6.7e-07,(-0.02236187318664147-0.005134103310970702j),(0.184214-0.0543416j)
6.75e-07,(-0.005818656345581383-0.0069595632537293745j),(0.0744014+0.027886j)
6.800000000000001e-07,(0.008100492386182094+0.0014831878703142809j),(-0.0623786+0.0250846j)
6.85e-07,(0.00935549887486678+0.011637312691162756j),(-0.115688-0.0442462j)
6.900000000000001e-07,(0.006959563253729369+0.012550042662542098j),(-0.102124-0.063035j)
6.95e-07,(0.014945978283679521+0.006160932862886729j),(-0.131386+0.0148622j)
7e-07,(0.03217368148643608+0.003765019466054056j),(-0.24512+0.10371j)
7.05e-07,(0.039817953344909285+0.009469576231098736j),(-0.326592+0.0943617j)
7.1e-07,(0.022247862503323716+0.015060055639911474j),(-0.227189-0.0194229j)
7.15e-07,(-0.013006418760384145+0.0127782418236155j),(0.0350158-0.148886j)
7.2e-07,(-0.03993196402822701+0.008214569742414045j),(0.251394-0.224776j)
7.25e-07,(-0.038790968222860066+0.01448960218583747j),(0.223218-0.261191j)
7.3e-07,(-0.014375524829605519+0.03228791441280118j),(-0.0220905-0.287186j)
7.350000000000001e-07,(0.009469576231098736+0.044153470713646795j),(-0.243295-0.278091j)
7.4e-07,(0.013120518340920836+0.03194566011980057j),(-0.223105-0.181461j)
7.450000000000001e-07,(-0.0020536457692492283+0.001597278561129084j),(0.00742923-0.0278843j)
7.5e-07,(-0.0179123451345862-0.018825075105965542j),(0.204681+0.058422j)
7.55e-07,(-0.0184827985886602-0.0068454858974974185j),(0.161251-0.0225696j)
7.6e-07,(-0.0047918490179700846+0.028180640653746532j),(-0.0789071-0.215436j)
7.65e-07,(0.007872315449413449+0.05225378530539099j),(-0.268065-0.341618j)
7.7e-07,(0.007073662834266063+0.040045974711544745j),(-0.213047-0.265263j)
7.75e-07,(-0.0036509198855173564+0.00011409135754394119j),(0.0267628-0.0254246j)
7.8e-07,(-0.008100492386182096-0.03502594875680603j),(0.20268+0.213544j)
7.85e-07,(0.004449572500664737-0.04221373339591351j),(0.142219+0.324259j)
7.900000000000001e-07,(0.025898649043012634-0.02852289494674714j),(-0.0689698+0.317093j)
7.95e-07,(0.03559644665948948-0.018254621651891522j),(-0.183619+0.28014j)
8e-07,(0.021335088083334893-0.02338863606564326j),(-0.0633394+0.254367j)
8.05e-07,(-0.00684548589749742-0.030005922802067295j),(0.165468+0.186781j)
8.1e-07,(-0.025784638359694887-0.0165432390653648j),(0.249252+0.0172704j)
8.15e-07,(-0.021335088083334893+0.01950962814057621j),(0.0743207-0.219974j)
8.2e-07,(-0.0015972785611290765+0.054992041892443264j),(-0.209572-0.396859j)
8.25e-07,(0.014261425249068831+0.06354884370355317j),(-0.358386-0.401094j)
8.3e-07,(0.01699961516320684+0.04187147910291289j),(-0.290998-0.24021j)
8.35e-07,(0.013234595697152794+0.011979589208468111j),(-0.143197-0.0405486j)
8.4e-07,(0.012550042662542104-0.003308643368212014j),(-0.0766526+0.0713172j)
8.450000000000001e-07,(0.013690971794994844-0.005020025954738741j),(-0.0787332+0.0916235j)
8.5e-07,(0.008670945840256098-0.015630509093985476j),(-7.86198e-05+0.146037j)
8.55e-07,(-0.0015972785611290858-0.05248202891507386j),(0.224675+0.366108j)
8.6e-07,(-0.003993196402822703-0.10450779285382944j),(0.455883+0.731865j)
8.65e-07,(0.013006418760384135-0.1379364808289502j),(0.470722+1.0495j)
8.7e-07,(0.043354729201280466-0.12607092452810445j),(0.201451+1.09747j)
8.75e-07,(0.06811260468197358-0.07541440000439882j),(-0.188241+0.8378j)
8.8e-07,(0.07495813502808044-0.021791464181176928j),(-0.459745+0.474882j)
8.85e-07,(0.06868310258465703-0.0005704578989349426j),(-0.500623+0.286728j)
8.900000000000001e-07,(0.05921332633481566-0.016999615163206853j),(-0.362884+0.358997j)
8.95e-07,(0.04472374637328289-0.04415347071364682j),(-0.147574+0.494925j)
9.000000000000001e-07,(0.014831878703142816-0.04746200296033513j),(0.0780495+0.402091j)
9.05e-07,(-0.028865149239747753-0.015744608674522174j),(0.261463+0.00122924j)
9.1e-07,(-0.06389109799655376+0.028865149239747735j),(0.336231-0.461544j)
9.15e-07,(-0.06662935458360596+0.050656524523705684j),(0.276782-0.633738j)
9.2e-07,(-0.03993196402822704+0.031032907924116507j),(0.172042-0.389801j)
9.25e-07,(-0.014261425249068834-0.015174155220448177j),(0.174603+0.044313j)
9.3e-07,(-0.01517415522044818-0.05225378530539103j),(0.324942+0.310299j)
9.35e-07,(-0.03479792739017057-0.05407928969675918j),(0.468087+0.250443j)
9.4e-07,(-0.041985712029278074-0.024301388261327342j),(0.399893+0.0127195j)
9.450000000000001e-07,(-0.020992811566029532+0.010382306202478072j),(0.112506-0.151152j)
9.5e-07,(0.006503209380192076+0.026126892652695514j),(-0.148334-0.157856j)
9.55e-07,(0.005476379828276041+0.020992811566029557j),(-0.124766-0.131489j)
9.600000000000001e-07,(-0.030690653631115908+0.010610505363551475j),(0.172917-0.206513j)
9.65e-07,(-0.0682266153652913+0.009241399294330105j),(0.450451-0.346919j)
9.7e-07,(-0.06925337824429305+0.01642916170913283j),(0.436309-0.398688j)
9.75e-07,(-0.03285841231548464+0.023046381772642642j),(0.153276-0.296453j)
9.8e-07,(0.0036509198855173603+0.023388636065643256j),(-0.11307-0.152204j)
9.85e-07,(0.0063891097996553806+0.020080081594650214j),(-0.12686-0.120412j)
9.9e-07,(-0.020308258531418846+0.016543239065364805j),(0.0749928-0.205329j)
9.95e-07,(-0.042784231298596966+0.012321865725773448j),(0.256503-0.265717j)
1e-06,(-0.03799244895354113+0.008442768903487448j),(0.243484-0.215952j)
1.0050000000000001e-06,(-0.015402332157216808+0.011979589208468101j),(0.0683608-0.146979j)
1.01e-06,(0.0012550042662542095+0.030690653631115887j),(-0.131056-0.212483j)
1.015e-06,(0.005932755926118069+0.058871072041815006j),(-0.28273-0.397276j)
1.02e-06,(0.013805049151226786+0.07438763712539699j),(-0.401246-0.48093j)
1.025e-06,(0.033770942268121336+0.056475291990810784j),(-0.468585-0.276414j)
1.03e-06,(0.0479184901797009+0.00798639280564541j),(-0.373848+0.126248j)
1.035e-06,(0.02954965782574893-0.040730705540593354j),(-0.0500365+0.403584j)
1.04e-06,(-0.01928145120380755-0.05510605257576094j),(0.353836+0.315574j)
1.045e-06,(-0.05852881774881442-0.022932371089324916j),(0.507327-0.0663471j)
1.0500000000000001e-06,(-0.04746200296033517+0.036280955245490736j),(0.19599-0.442172j)
1.055e-06,(0.009013222357561442+0.0872799563052445j),(-0.410565-0.582381j)
1.06e-06,(0.06058256574986544+0.10211179055977775j),(-0.84393-0.489573j)
1.065e-06,(0.06195158292186786+0.07541440000439878j),(-0.753677-0.303062j)
1.07e-06,(0.021905541537408892+0.024415621187692485j),(-0.26316-0.10336j)
1.075e-06,(-0.006046833282350033-0.02293237108932492j),(0.134439+0.129155j)
1.08e-06,(0.01939552856003952-0.04643524008133333j),(0.0547968+0.412578j)
1.085e-06,(0.08214569742414062-0.047804257253335786j),(-0.389388+0.684877j)
1.09e-06,(0.12493015096578503-0.04780425725333576j),(-0.705254+0.857278j)
1.095e-06,(0.10804456871020066-0.06115306365254897j),(-0.540862+0.878354j)
1.1e-06,(0.04620699647165044-0.07564264361408166j),(-0.04248+0.729198j)
1.105e-06,(-0.010610505363551468-0.060240311456864835j),(0.307189+0.393833j)
1.11e-06,(-0.027267888458062453-0.0035368425292854086j),(0.204425-0.073627j)
1.1150000000000001e-06,(-0.008556846259719399+0.06138108501918438j),(-0.187462-0.465102j)
1.12e-06,(0.017912345134586168+0.08009217166613689j),(-0.450538-0.503508j)
1.125e-06,(0.03308643368212014+0.03365693158480361j),(-0.370139-0.119859j)
1.13e-06,(0.035025948756806036-0.035596446659489515j),(-0.104572+0.385335j)
1.135e-06,(0.025556394750012007-0.06286433511755193j),(0.0691707+0.553745j)
1.14e-06,(0.003650919885517356-0.026811401238696696j),(0.074599+0.216124j)
1.145e-06,(-0.02532837338337655+0.032287914412801176j),(0.042194-0.32638j)
1.15e-06,(-0.042099722712595766+0.06252208082455132j),(0.0464418-0.619778j)
1.155e-06,(-0.028294651337064256+0.057159800576812j),(-0.0224571-0.530546j)
1.1600000000000001e-06,(0.009925952328940772+0.04951575096138615j),(-0.263475-0.31868j)
1.165e-06,(0.04209972271259576+0.056589302674128476j),(-0.52851-0.236784j)
1.17e-06,(0.0422137333959135+0.04985800525438674j),(-0.508379-0.19289j)
1.175e-06,(0.015402332157216802-0.005134103310970687j),(-0.0930797+0.0853331j)
1.18e-06,(-0.00867094584025609-0.08773622128156275j),(0.419518+0.582288j)
1.185e-06,(-0.00992595232894077-0.12892319179847447j),(0.597686+0.887741j)
1.19e-06,(0.0013690971794994911-0.08545445191387623j),(0.335706+0.637572j)
1.195e-06,(2.9341612809272286e-19+0.004791849017970089j),(-0.0267932-0.0144943j)
1.2e-06,(-0.02122098850279821+0.06069657643318323j),(-0.101135-0.516241j)
1.2050000000000001e-06,(-0.04232796632227863+0.0487170094490198j),(0.106224-0.530068j)
1.21e-06,(-0.03810645963685885+0.018596898169196872j),(0.205085-0.296216j)
1.215e-06,(-0.006046833282350029+0.03799244895354109j),(-0.103877-0.294055j)
1.22e-06,(0.03034839933811531+0.1035950406581454j),(-0.637055-0.612754j)
1.2250000000000001e-06,(0.04221373339591354+0.1377082372192673j),(-0.865005-0.821603j)
1.23e-06,(0.017570068617280832+0.07472989141839753j),(-0.431476-0.488192j)
1.235e-06,(-0.03126092929075195-0.06206581584823296j),(0.478414+0.290074j)
1.24e-06,(-0.07552841068771653-0.18072071212754715j),(1.28107+0.977862j)
1.245e-06,(-0.0849981869375579-0.2078745899022917j),(1.46074+1.16025j)
